,Id,Status Category,Probability of conversion,Use Case,Created Date
0,23okrabh,Waiting,0.4,Corporate Events,2018-05-26
1,ObhuQtPf,Discarded,0.1,Indefinite,2018-10-17
2,hbzt0kp1,Waiting,0.4,Indefinite,2019-03-29
3,velluwdq,Discarded,0.1,Corporate Events,2018-05-26
4,WCJ8vFzk,Waiting,0.4,Corporate Events,2018-10-17
5,vwm9vcdc,Waiting,0.4,Indefinite,2019-03-29
6,ZHyjpjPw,Discarded,0.1,Indefinite,2018-05-26
7,PWruBejs,Discarded,0.1,Sports Events,2018-10-17
8,kbfjr4vz,Waiting,0.4,Indefinite,2019-03-29
9,sdxsfCw8,Discarded,0.1,Indefinite,2018-05-26
10,yL55EfLo,Qualified,0.5,Educational Seminars,2018-10-17
11,1sqjzh1n,Discarded,0.1,Corporate Events,2019-03-29
12,tj24u1op,Discarded,0.1,Corporate Events,2018-05-26
13,11naOju7,Discarded,0.1,Corporate Events,2018-10-17
14,0u8prqqe,Waiting,0.4,Indefinite,2019-03-29
15,OyOHbOa7,Waiting,0.4,Indefinite,2018-01-01
16,txIH3HOQ,Process,0.3,Corporate Events,2018-10-17
17,vhio5dmx,Discarded,0.1,Corporate Events,2019-03-29
18,ywgrcgoi,Waiting,0.4,Corporate Events,2018-01-01
19,henws78r,Waiting,0.4,Corporate Events,2018-10-17
20,meg0fk0h,Waiting,0.4,Educational Seminars,2019-03-29
21,54qsircu,Discarded,0.1,Corporate Events,2018-01-01
22,MYVv1u2U,Qualified,0.5,Corporate Events,2018-10-17
23,qr9pl81g,Discarded,0.1,Corporate Events,2019-03-29
24,ps39rm18,Waiting,0.4,Indefinite,2018-01-01
25,C7QCuN9x,Discarded,0.1,Sports Events,2018-10-17
26,fzo8lyur,Discarded,0.1,Corporate Events,2019-03-29
27,yexf0pdo,Waiting,0.4,Corporate Events,2018-01-01
28,wes0qzke,Discarded,0.1,Corporate Events,2018-10-17
29,szuxdaw9,Discarded,0.1,Corporate Events,2019-03-29
30,wmhOfWNN,Waiting,0.4,Indefinite,2018-01-01
31,xMk84iNq,Process,0.3,Sports Events,2018-10-17
32,wg048onx,Discarded,0.1,Corporate Events,2019-03-29
33,JIqEQ6DF,Qualified,0.5,Corporate Events,2018-01-01
34,P5yoyJBP,Discarded,0.1,Sports Events,2018-10-17
35,csl917kg,Discarded,0.1,Corporate Events,2019-03-29
36,PnspdLbU,Waiting,0.4,Corporate Events,2018-01-01
37,i111haoj,Discarded,0.1,Corporate Events,2018-10-17
38,8omf4odw,Discarded,0.1,Corporate Events,2019-03-29
39,NLS2rIXa,Discarded,0.1,Sports Events,2018-01-01
40,g6emao6t,Waiting,0.4,Corporate Events,2018-10-17
41,ow754ynf,Waiting,0.4,Corporate Events,2019-03-29
42,umu0rdsw,Waiting,0.4,Indefinite,2018-01-01
43,eaxcqbdg,Waiting,0.4,Corporate Events,2018-10-17
44,52m0mquk,Waiting,0.4,Corporate Events,2019-03-29
45,VdkyeUwu,Waiting,0.4,Sports Events,2018-01-01
46,c0csrzx6,Waiting,0.4,Corporate Events,2018-10-17
47,ge37zmt9,Discarded,0.1,Corporate Events,2019-03-29
48,npRs49Gm,Discarded,0.1,Sports Events,2018-01-01
49,niviVF4h,Qualified,0.5,Sports Events,2018-10-17
50,f46lg31k,Waiting,0.4,Indefinite,2019-03-29
51,e4zzgixm,Discarded,0.1,Corporate Events,2018-01-01
52,b3tg5exb,Discarded,0.1,Corporate Events,2018-10-17
53,uc82tbwl,Discarded,0.1,Corporate Events,2019-03-29
54,X5nYq2cj,Qualified,0.5,Corporate Events,2018-01-01
55,59r3gp5g,Process,0.3,Corporate Events,2018-10-17
56,Quc8tvZY,Qualified,0.5,Sports Events,2019-03-29
57,np8AiQgw,Waiting,0.4,Educational Seminars,2018-01-01
58,upmelfel,Waiting,0.4,Corporate Events,2018-10-17
59,1akb9ya7,Discarded,0.1,Corporate Events,2019-03-29
60,28s4gp30,Waiting,0.4,Corporate Events,2018-01-01
61,BFhMFmfJ,Discarded,0.1,Indefinite,2018-10-17
62,ypqmgyve,Discarded,0.1,Corporate Events,2019-03-29
63,72w9wsno,Waiting,0.4,Sports Events,2018-01-01
64,883uq3ax,Waiting,0.4,Corporate Events,2018-10-17
65,6p5tgkky,Waiting,0.4,Educational Seminars,2019-03-29
66,cHPQMGJq,Qualified,0.5,Sports Events,2018-01-01
67,mepipLDU,Waiting,0.4,Indefinite,2018-10-17
68,8n9vq85t,Waiting,0.4,Corporate Events,2019-04-28
69,1n26yh82,Process,0.3,Corporate Events,2018-01-01
70,jfeasy8c,Waiting,0.4,Indefinite,2018-10-17
71,affezu0c,Waiting,0.4,Corporate Events,2019-04-28
72,qpj7yg9h,Discarded,0.1,Corporate Events,2018-01-01
73,bzxvrkk6,Discarded,0.1,Indefinite,2018-10-18
74,rrep07lv,Waiting,0.4,Corporate Events,2019-04-28
75,tfmb5lh0,Waiting,0.4,Indefinite,2018-01-01
76,VvSR3NfC,Discarded,0.1,Indefinite,2018-10-18
77,WEIuOjEE,Qualified,0.5,Educational Seminars,2019-04-28
78,28y8irv7,Discarded,0.1,Corporate Events,2018-01-01
79,p75TiOi6,Discarded,0.1,Indefinite,2018-10-18
80,bu99hfx1,Waiting,0.4,Corporate Events,2019-04-28
81,A75csKGG,Discarded,0.1,Corporate Events,2018-01-01
82,C8FefbOE,Discarded,0.1,Indefinite,2018-10-18
83,xw3yvixs,Waiting,0.4,Corporate Events,2019-04-28
84,42dpftoa,Qualified,0.5,Corporate Events,2018-01-01
85,1n9o3jju,Discarded,0.1,Corporate Events,2018-10-18
86,kns65abj,Discarded,0.1,Indefinite,2019-04-28
87,rqObyBkI,Qualified,0.5,Educational Seminars,2018-01-01
88,ro2u71jy,Waiting,0.4,Indefinite,2018-10-18
89,4h3ror36,Discarded,0.1,Corporate Events,2019-04-28
90,9cWLA24E,Qualified,0.5,Corporate Events,2018-01-01
91,bxvfvy76,Waiting,0.4,Indefinite,2018-10-18
92,BOHdDBaI,Process,0.3,Sports Events,2019-04-28
93,awynhl2s,Discarded,0.1,Educational Seminars,2018-01-01
94,9lald01s,Waiting,0.4,Corporate Events,2018-10-18
95,umov1m9v,Discarded,0.1,Corporate Events,2019-04-28
96,GAlhanPg,Qualified,0.5,Corporate Events,2018-01-01
97,fr6gl2dy,Discarded,0.1,Educational Seminars,2018-10-18
98,odbf5vf3,Discarded,0.1,Indefinite,2019-04-28
99,SXo0wyly,Discarded,0.1,Sports Events,2018-01-01
100,mwhp4ukr,Waiting,0.4,Educational Seminars,2018-10-18
101,wn4nmnx3,Waiting,0.4,Educational Seminars,2019-04-28
102,gNe81OEr,Qualified,0.5,Educational Seminars,2018-01-01
103,3iBhXtkW,Waiting,0.4,Indefinite,2018-10-18
104,fm1nat1u,Waiting,0.4,Indefinite,2019-04-28
105,Gfe1stz6,Qualified,0.5,Sports Events,2018-01-01
106,nw2had6j,Waiting,0.4,Indefinite,2018-10-18
107,dh1azuyf,Engaged,0.45,Corporate Events,2019-04-28
108,jQ96fd2O,Discarded,0.1,Sports Events,2018-01-01
109,m8kACO9h,Process,0.3,Indefinite,2018-10-18
110,1ks3pztv,Discarded,0.1,Educational Seminars,2019-04-28
111,72x349vh,Discarded,0.1,Indefinite,2018-01-01
112,0j7sltet,Waiting,0.4,Corporate Events,2018-10-18
113,dtdqptc4,Discarded,0.1,Corporate Events,2019-04-28
114,t8p2addc,Discarded,0.1,Corporate Events,2018-01-01
115,rafh2gox,Discarded,0.1,Corporate Events,2018-10-18
116,pWbSci6l,Discarded,0.1,Indefinite,2019-04-28
117,Q9UYvdI2,Discarded,0.1,Sports Events,2018-01-01
118,4q119ps9,Waiting,0.4,Corporate Events,2018-10-18
119,48l6ksr9,Discarded,0.1,Corporate Events,2019-04-28
120,p9sQtdRq,Qualified,0.5,Corporate Events,2018-01-01
121,a6dkgcl8,Discarded,0.1,Corporate Events,2018-10-18
122,1c7ihndk,Discarded,0.1,Corporate Events,2019-04-28
123,rCFyohpV,Discarded,0.1,Sports Events,2018-01-01
124,aIC2CVzG,Discarded,0.1,Sports Events,2018-10-18
125,x5t4h10c,Discarded,0.1,Corporate Events,2019-04-28
126,l939he5r,Waiting,0.4,Corporate Events,2018-01-01
127,2mxlq8t1,Waiting,0.4,Educational Seminars,2018-10-18
128,7vkU2HhA,Waiting,0.4,Indefinite,2019-04-28
129,jzwe4pud,Discarded,0.1,Corporate Events,2018-01-01
130,69mqsfau,Engaged,0.45,Corporate Events,2018-10-18
131,18s9hehm,Waiting,0.4,Indefinite,2019-04-28
132,muyipcgd,Waiting,0.4,Corporate Events,2018-01-01
133,r33mt0a1,Waiting,0.4,Sports Events,2018-10-18
134,kI9fX3Nc,Qualified,0.5,Corporate Events,2019-04-28
135,bptaUkgV,Qualified,0.5,Corporate Events,2018-01-01
136,f61kl8dh,Discarded,0.1,Corporate Events,2018-10-18
137,enesyu8e,Discarded,0.1,Corporate Events,2019-04-28
138,cPLBJuTK,Qualified,0.5,Corporate Events,2018-01-01
139,cgqv9s3q,Waiting,0.4,Corporate Events,2018-10-18
140,3b539w3k,Discarded,0.1,Corporate Events,2019-04-28
141,uHSVVG0L,Waiting,0.4,Indefinite,2018-01-01
142,1hv7mcha,Waiting,0.4,Corporate Events,2018-10-18
143,8hs2b4yn,Waiting,0.4,Indefinite,2019-04-28
144,2qn4dc7v,Waiting,0.4,Corporate Events,2018-01-01
145,ycjdtyly,Waiting,0.4,Corporate Events,2018-10-18
146,c47tawtr,Waiting,0.4,Indefinite,2019-04-28
147,w62cszxu,Waiting,0.4,Corporate Events,2018-01-01
148,KLdeoiw5,Discarded,0.1,Indefinite,2018-10-18
